//@李知了:[给你小心心]//@一只浪鸭://@野生二次郎:转发微博	未
//@李知了:认真的吗	未
李知恩 19年台历截止今天 晚上 8点 截止：网页链接过时不补图：MLY3977	未
李硕：在各国部长的簇拥下，如释重负的库尔提卡踏上主席台，随即从另外一端跳下。随着这位波兰环境部副部长的轻盈点地，COP24就此谢幕。在平衡各国利益后，库尔提卡交出了让各国同等不开心的答卷，却没能让任何国家找出振奋的理由。	未
李磊杀了妻子王平后，淡定地打电话给岳母，表示妻子是他用刀砍死的。还拍了现场视频发给岳母，画面惨不忍睹，我妹妹的脖子被砍断了一半。他说王平生是他的人，死是他的鬼。案发后，李家曾委托村委会主任协调，欲出30万私了，遭到妻子家人拒绝。来源：上游新闻河南男子杀妻后打电话给岳母：我杀了你女儿	未
李稻葵：不能以保护民营经济为借口来保护落后产能清华大学中国经济思想与实践研究院院长李稻葵建议，应该按照市场的原则一视同仁对待民企既不要歧视，也不要专门地保护。尤其不能以保护民营经济发展民营经济为借口，来扶持一些本来就该淘汰的企业，不能以保护民营为借口来保护落后。李稻葵：不能以保护民营经济为借口来保护落后产能	未
李稻葵：最艰难的时段已经过去，多事之秋到此为止（演讲全文）	未
李稻葵：蓝筹股已水落石出 长线投资者可入场清华大学李稻葵教授对目前A股有两个核心观点：一是整体已经很便宜了，尤其是蓝筹股跌的水位很低，可以说是水落石出二是受美国影响，A股有可能还会出现反复，主要原因在于美股调整没有结束，因此不能轻易断言A股见底李稻葵：蓝筹股已水落石出 长线投资者可入场	未
李立群：戏骨人生	未
李笑来摇身一变成上市公司联席CEO 他究竟想干点啥	未
李笑来转行？出任香港上市公司雄岸科技执行董事及联席CEO	未
李米的猜想里有太多的撕心裂肺跟难言之隐，那时候思念像一条在草地上爬行的蛇	未
李红念为参加全省执法执勤能力考核比武民警做战前动员	未
李纪恒：依法规范有序推进公益诉讼工作	未
李胜素  《杜鹃山》	未
李自健：没有改革开放，就没有我李自健丨长沙见证改革开放40年	未
李至斌：证监会准备先行开展股权众筹试点	未
李若彤称最不喜欢“王语嫣”：傻呆呆看着表哥	未
李若彤陈浩民时隔21年重聚 保养得宜不见皱纹	未
//@李若旸:	未
//@李若旸:每天在微博云养娃的我本人	未
//@李若旸:这一波合作终于又有消息了，我哭辽	未
李荣浩：谁能想到年仅33岁的我，已经四世同堂了呢！	未
李荣浩：谁能想到年仅33岁的我，已经四世同堂了呢	未
李莫愁你很霸道，为小孩讨口奶喝，竟然这样..	未
李蓬国：错俩标点被通报，乱问责就是乱弹琴扶贫手册是常规性资料，并非规范性文件，错了两个标点符号完全不必上纲上线。可是，居然有扶贫干部因此登上了黑榜被全县通报，还被扣了一年的绩效，如此小题大做强人所难的乱问责，不仅误伤了无辜的当事人，也打击了广大扶贫干部的工作积极性。人在路上走，锅从天上来不干不作为，少干慢作为，多干乱作为等段子，折射了基层干部干事创业积极性受打击后的心灰意冷。网页链接	未
李诞否认出轨：只是被女友人挽着脖子讲话，并不算有亲密动作	未
李诞否认出轨引讨论：已婚男士和异性应保持什么距离	未
李诞和女性举止亲密引热议，男生学会避嫌有那么难吗	未
李诞：哎呀 一不小心说了句实话	未
李诞回应，视频中的人是李诞。视频里女主张浴盐只是在说话，现场的朋友可以证明	未
李诞垮了，谁能接位	未
李诞宣布退出《野生厨房》：我对这个节目没作用	未
李诞开口喊姜妍母亲 ，涵哥又双叒叕失踪了	未
李诞是比papi酱更危险的互联网产品	未
李诞“热吻”视频女主回应：就是在说话 太能编了	未
李诞疑出轨激吻网红视频流出 当事双方回应1月24日，有网友在社交平台曝出一段视频，疑似李诞在望京某酒吧与一名女子亲吻，举止十分亲密爆料者还肯定该女子不是李诞老婆黑尾酱随后视频中女子发微博澄清而李诞则转发该女子微博回应李诞激吻网红视频流出疑出轨当事双方回应	未
李诞的10级情话，借着扯经说了出来	未
李诞的大哥之路，李诞的人间质疑丨河豚专栏	未
李诞视频女主澄清，看到有网友评论说：一些没见过世面的正经人不知道那些好玩的人儿啥样，见到了也还是用自己那套去judge。好难受。好像穷人说有钱人买奢侈品是傻逼一样	未
李诞走红这一年影响最大的是他	未
李诞退出野生厨房23岁消防员救落水老人牺牲，别再问值不值了！当消防员听说老人落水时，他是不会犹豫救人值不值的，不会把两个生命放在价值的天平上去衡量一下。他们的职业使命就是救人，这种职业本能早超过了人的生存本能和功利本能。	未
李诞退出野生厨房 李诞的确不适合这个节目，除了睡不醒就是偷懒，贡献可能就是提供笑料吧	未
李谞副市长到汉台检查指导监所管理工作	未
李跃任中国航天科工集团总经理、党组副书记(图/简历)	未
李辉同志深入一线督导道路交通安全工作及重安派出所备勤室改造建设情况	未
李迅雷：买自己买不到的东西当年我写这篇文章的时候，M2规模只有35万亿，A股流通市值只有3万多亿，周边很多人都没有多少积蓄，恩格尔系数高达40，大部分钱都用在吃和穿上。当时我判断，人们的生活水平会不断提高，余钱会增多，恩格尔系数也会不断下降。在外资大量流入出口大幅增长的背景下，货币一定会高速扩张，从而助推各类资产价格快速上涨。也就是说，如果你与周边的同事们一样，把省吃俭用后剩下来的钱慢慢地积蓄，希望积蓄到一定程度就可以买房了。但问题是收入增长速度远远比不过M2的增速，但资产的上涨却与M2同步。最	未
李迅雷：从买自己“买不起”的东西到买自己“买不到”的东西	未
李连杰时隔3个月再出江湖，身强体健的他，妻子在身边更显老	未
_//@李连源:食品安全无小事！	未
李遥：脱贫攻坚战冲锋号已吹响 咬定目标 苦干实干	未
李金刚  思母祭文	未
李金华人民微博发文：企业履行社会责任的核心是“诚信”(图)	未
李铁：我不赞同房地产市场泡沫说，只是出现了暂时波动	未
李铁：调控房产市场不能只靠限价，更应加强供给	未
李银河《我们都是宇宙间的微尘》：窃窃私语，自说自话	未
李锦斌接受人民日报专访：为自己人办事就是办自己的事	未
李长声、小宝、张明扬谈藤泽周平︱日本武士的人情与日常	未
李雨桐否认恋情期间出轨:薛之谦要孩子又打掉孩子	未
李雪芮化身观众支持“李雪芮杯” 坦言最终目标仍是东京奥运会	未
"李雪芮杯"业余羽毛球公开赛挥拍	未
李霄鹏：为自己的执教表现打七八十分	未
李霄鹏谈足协杯决赛：把首回合当成决战	未
李霞重新定义经纪人	未
李青：到医院看病为什么要先挂号才可以看医生	未
李青短评：到医院看病为什么要先挂号才可以看医生	未
李静任广东省交通运输厅党组书记、提名厅长人选	未
李马克李马克1217公开五周年nct李马克 181205 DREAM SHOW D5后记马克：昨天想要聊有关Dream Show的事情所以和Jeno打电话了。拜托了Jeno把孩子们叫出来 所以Jeno大喊：聚过来！ 所以大家说着啥事儿啥事儿（在电话旁边）边聚了起来。但是我！挂掉了电话之后又想起来有要说的事情，所以我又打电话给Jeno，Jeno又大喊：又！孩子们过来！ 所以会想象大家又聚了起来，各自从床上起来喊着：又又Mark哥 再怎么烦 但还是聚起来了 太可	未
李鸿儒、田国俊、雍辉任宁夏回族自治区银川市副市长	未
李鸿儒、田国俊、雍辉任银川市副市长	未
李鸿儒、田国俊、雍辉被任命为银川市政府副市长	未
李鸿章继曾国藩后掌实权	未
//@李鸿谷:梦里的那个唐朝！	未
//@杏仁露里穿梭oxo:噗//@南小小小音:摆拍//@吃瓜群众CJ://@Tiger公子:	未
杏坛发生四车连环相撞！幸亏他们5分钟解救被困伤者	未
杏坛这个地方竟然藏着星酒店！开业不久却甩出网红民宿好几条街...	未
杏鲍菇也能吃出肉的味道	未
杏鲍菇缩水变身试图蒙混过关，不料半路杀出程咬金	未
杏黄橘绿枫叶正红 浙南古道 一路枫光	未
材料：杏鲍菇4个，五花肉末半斤，蛋清1个，蒜子两粒，洋葱1/4个步骤：1-4 将杏鲍菇葱蒜切成末，装入大碗中，加入肉末蛋清，淋入 5克料酒料酒，再加入2克细盐，1克草果粉，1克花椒粉，6ML老抽，用筷子朝1个方向搅拌3分钟5 带上一次性手套，取适量搅拌好的杏鲍菇肉泥在手心，团成圆球 ...全文	未
//@村上春柱:	未
村上春树三部作品中文电子版发售，但没有《挪威的森林》	未
村上炊烟袅袅，却依然蓝天如洗，乡亲们说：专家甩的锅咱不背	未
村主任将老爸评定为贫困户白山通报5起扶贫领域典型案例	未
村主任强迫企业“贱卖”矿石获利百万	未
村主任：村支书周炳耀是我们全村人心目中的英雄	未
村书记挪用公款赌博，潜逃三年终伏法	未
村书记进城卖山货书记们拍了个抖音短视频......哈哈哈哈哈_！	未
村书记进城卖山货 你有白马王子，我有白马地瓜干！	未
村书记进城卖山货酒香不怕村子深，最最山里的红光村带来了陈年高粱酒！	未
村党支部书记兼职风水先生 被中纪委机关报曝光	未
村医可报销日常运转费，年报销达3650元！	未
村医经历的一次午夜惊魂！	未
村医给卫生院长的一封公开信	未
村医花16800元买证，还能网上查询，真有这等好事	未
村医说丨村医在夹缝中生存的一群人	未
村卫生室无医生海南将通过考核招聘选派等方式实现乡村医生全覆盖针对个别村卫生室无乡村医生的现象，海南印发了关于贯彻落实乡村医生全覆盖的通知，要求通过考核招聘选派等方式，实现乡村医生全覆盖，打通百姓家门口的就医路在待遇方面，省卫生健康委明确，要以确保乡属村用的医生收入水 ...全文	未
村口危桥难修，村民出行不便	未
村史馆里说变迁：老农具“退休”，新农机“上岗”	未
村夫自称菩萨上身，自采草药致人死亡被告人沈某某与被害人孙某某相识于2017年。在双方聊天中，沈某某得知孙某某身患癌症，便告知孙某某自己父亲也曾患癌，服用草药后效果挺好，并提出如孙某某需要试用，可去其家中拿药。此后，孙某某曾五次来到沈某某家中。沈某某以菩萨上身的方式给孙某某看病抓药。2017年10月23日晚，孙某某在服用被告人沈某某开具的草药后出现不适反应，沈某某称属服用药物后的正常反应，后孙某某于次日凌晨经医院抢救无效死亡。11月26日此案开庭审理。杭州市萧山区人民检察院认为，被告人沈某某	未
村委会主任伙同村建站站长向村民索要“好处费”	未
村委会副主任挪用低保资金8.6万余元 潜逃十年后自首	未
村委会居委会任期拟改为五年	未
村委会、居委会的任期拟由3年改为5年	未
村委会说征地补偿款要截留30，是真的吗	未
村委会选举大会上演暴露辣舞 官方：穿有肉色衣服11月30日，湖北南漳县李庙镇刘坪村召开村委选举大会。选举开始之前 ，主席台上几名衣着暴露的女子大跳辣舞。李庙镇党委相关负责人介绍，11月30日上午，刘坪村借用村里一企业场地，召开选举大会。企业出钱从县城请来婚庆公司表演节目，一来给自己做宣传，二来活跃一下气氛，完整录像显示，演员穿的有肉色衣服，实际上并不暴露，微信上传的短视频看不清。这个行为确实不对。12月4日，南漳县委相关负责人回复记者称，此行为太不严肃，已责成县委组织部展开调查。视频戳网页链	未
村委会选举大会上演暴露辣舞 官方：穿有肉色衣服11月30日，湖北南漳县李庙镇刘坪村召开村委选举大会选举开始之前 ，主席台上几名衣着暴露的女子大跳辣舞李庙镇党委相关负责人介绍，11月30日上午，刘坪村借用村里一企业场地，召开选举大会企业出钱从县城请来婚庆公司表演节目，一来给自己 ...全文	未
村委选举大会上演＂暴露辣舞＂ 官方:穿有肉色衣服	未
村子換成孩子也沒毛病	未
村子面临拆迁 红庙小学停水停电还被拆迁包围西安市红庙小学位于丈八街道陈林村红庙村中间，共8个教学班，在校学生320人。日前，周边陈林村红庙村正在进行拆迁，该学校也将面临拆迁。目前，学校教育教学工作正常进行，但上学的路已成了拆迁施工现场，噪音很大，尘土飞扬。学生上学的安全问题和分流去向成了红庙小学学生家长的心病。对此，高新区相关部门回复称，本周启动分流，拟分流至鸿锦城小学。至于什么时候能分流完毕，相关工作人员没有回复。村子面临拆迁 红庙小学停水停电还被拆迁包围	未
村官为迎接脱贫检查评估 让贫困户搬进8天＂速成房＂	未
村官变村霸，横行乡里！结果...	未
村官感悟三年村官，是酸也是甜	未
村官把救助名单变“亲友名册”：名单中11人是其亲友	未
村官随笔以一颗平常心认真对待扶贫工作	未
村官随笔守住我的根	未
村（居）委会任期拟从3年改5年，千名全国人大代表提议延长	未
村已不是那个村，这是92年的海淀卫星地图查看图片 //@孤注一掷004：现在去趟中关村都简称为进城。。。	未
村干部工资标准出炉，看看村干部每月拿多少工资	未
村干部带头严打3件事，犯事的谁也别想逃	未
村干部新规出台，德高望重也不能连任了，这类人要进村委！	未
村干部没工资，为啥有人抢着干	未
村干部注意，马上收拾你了	未
村干部猥亵女教师致其流产 被处行拘5日四川宜宾孔雀乡代课女教师鸢薇今年7月6日遭同乡村干部梁某刚猥亵，1个多月后流产，警方随后对梁某刚处以行政拘留五日处罚。鸢薇不满处罚结果，认为不应依据治安处罚条例，处罚过轻，向政府申请行政复议，向检察院反映。	未
村干部的好日子就要到头了！存在这3个问题的村干部不得连任	未
村干部私填800张选票这三起案例被三门峡纪委通报12月3日，三门峡市纪委监委通过官方网站发布消息，将近期查处的3起形式主义官僚主义典型案例，予以通报。其中，渑池县果园乡北平村在县乡人大换届选举中不作为乱作为问题。选举当天663名选民仅到场2人，村干部私填800张选票详情村干部私填800张选票这三起案例被三门峡纪委通报	未
村干部被罢免，现场拍手叫好	未
村干部要改选：一批新人会出现，包括返乡农民工！	未
村干部要改选！一批新人会出现，包括返乡农民工	未
村干部默许填埋 江苏泰兴近8000吨化工危险废料这样“下乡”	未
村庄探源你家在武家那王吕坡李官庄杨二庄贾二庄的知道村名的来历吗	未
村庄断水，村民每天挤破头抢井水！福州高新区建平村村民吃水难！	未
村庄河道整治，护坡上挖出宋代古井	未
村庄里掀起的蔬菜革命	未
村庄里掀起的蔬菜革命：没有卖不掉的“寿光菜”	未
村支书全家涉黑，惊动中央巡视组李文华自2011年担任村里一把手以后，通过强揽工程霸占公司流转土地骗取银行贷款和国家专项资金的方式，先后获利三千多万元。警方已查实李文华等人涉嫌违法犯罪44起，包括涉黑涉枪涉毒涉赌等。一个村支书的所作所为，还引起了中央巡视组的关注，并促使地方采取行动。这一次，不仅李文华被认定涉黑，其妻子儿子弟弟侄子也因涉黑先后被警方带走，几乎成了全家涉黑。李文华被抓后，石家庄市纪委监委对背后的保护伞进行了深挖，已处理党员和公职人员119人，其中包括县	未
村支书守卫长城数十年 曾被人称“疯子”	未
村支书守卫长城数十年，曾被人称“疯子”	未
村支书守卫长城数十年 曾被村民戏称为“疯子”	未
村支书收施工方烟酒虚增外墙改造面积，多付工程款16万	未
村支书收烟酒虚增外墙改造面积 套取国家资金	未
村支书王海义： 誓把绿水青山变金山银山	未
村支书竟兼职风水先生，中纪委机关报：要带好头，不能领歪路	未
村支书雇xiong 团伙今日定刑@华商报 的一直播（下载App-gt网页链接）	未
村村响工程要来了，村村痛要消失了，农民：这个工程好！	未
村民一早来到派出所送锦旗，咋回事	未
村民上山捉野猪，野猪奋力反抗一挑多条狗，厉害了！	未
村民上访受阻，引爆炸药	未
村民厨房轰燃喷火苗，教师冒险拖出煤气罐	未
村民反应巴中三江镇鳌溪村的一些问题	未
村民反映村扶贫产业有猫腻，真相是.......	未
村民！发明了捕鼠器，抓活的，太厉害了	未
村民变股东，今年又分红，网红苍葭冲乡村振兴有看头！	未
村民变股民 资金变股金——山西隰县探索集体经济发展新模式	未
